@relation coordenadas

@ATTRIBUTE latitud NUMERIC
@ATTRIBUTE longitud NUMERIC

@DATA
19.05025144,-98.20771452
19.06540591,-98.17915937
19.06251377,-98.19587352
19.06283433,-98.17164468
19.04847187,-98.19669174
19.04861737,-98.20483137
19.03886278,-98.18923624
19.01894423,-98.19209767
19.03957568,-98.1792498
19.04480402,-98.20516828
19.02150339,-98.19892148
19.05038686,-98.19291736
19.03772634,-98.18170807
19.04795511,-98.2079001
19.04780263,-98.20798217
19.04110922,-98.20772949
19.04190264,-98.20924107
19.04386631,-98.16265194
19.04064235,-98.18701057
19.04543951,-98.19612671
19.02819106,-98.20369661
19.04343079,-98.19331711
19.04602004,-98.16984389
19.02324436,-98.20549244
19.01165033,-98.18525356
19.04928731,-98.19445184
19.03614801,-98.20171104
19.03621317,-98.20183653
19.06369891,-98.19007715
19.04618555,-98.20216488
19.02388532,-98.18029024
19.03227741,-98.20182005
19.0541617,-98.20267971
19.0648918,-98.18617433
19.04050874,-98.20449997
19.03858914,-98.21070458
19.05003613,-98.20321086
19.05191513,-98.16645004
19.05258984,-98.16713226

% Centro: 19.03772634,-98.18170807000001
